TestCentre,TestDetails,CarsFullTests,CarsRetests,passrate%,retest_rate%
Armagh,Pass %,0.797055812,0.940637367,79,94
Ballymena,Pass %,0.812017731,0.937674095,81,93
Belfast (Balmoral),Pass %,0.850063905,0.952111791,85,95
Coleraine,Pass %,0.811491396,0.943856886,81,94
Cookstown,Pass %,0.7996418940000001,0.942815649,79,94
Craigavon,Pass %,0.8048653159999999,0.9361155309999999,80,93
Downpatrick,Pass %,0.810242063,0.94509936,81,94
Enniskillen,Pass %,0.7965832009999999,0.93572695,79,93
Larne,Pass %,0.762431091,0.9361286440000001,76,93
Lisburn,Pass %,0.834007829,0.954597308,83,95
Londonderry (New Buildings),Pass %,0.827908442,0.960697198,82,96
Mallusk,Pass %,0.812584972,0.9460649879999999,81,94
Newry,Pass %,0.806328402,0.951765387,80,95
Newtownards,Pass %,0.828767635,0.949212245,82,94
Omagh,Pass %,0.812986683,0.9372365340000001,81,93
